facetID,X,Y,Z,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,0,-0.991445,-0.130526,8.98116,16.1486,2.66907,11.8082,16.0783,3.20289,8.98116,16.0783,3.20289
1,0,-0.991445,-0.130527,11.8082,16.3594,1.06763,14.6353,16.3594,1.06763,14.6353,16.2892,1.60144
2,0,-0.92388,-0.382683,8.98116,14.9076,6.75769,11.8082,14.7015,7.25513,8.98116,14.7015,7.25513
3,0,-0.92388,-0.382683,11.8082,15.5257,5.26539,14.6353,15.5257,5.26539,14.6353,15.3196,5.76282
4,0,-0.793353,-0.608761,8.98116,12.6506,10.3858,11.8082,12.3228,10.8129,8.98116,12.3228,10.8129
5,0,-0.793353,-0.608761,11.8082,13.6339,9.10432,14.6353,13.6339,9.10432,14.6353,13.3061,9.53147
6,0,-0.608761,-0.793353,8.98116,9.53147,13.3061,11.8082,9.10432,13.6339,8.98116,9.10432,13.6339
7,0,-0.608761,-0.793353,11.8082,10.8129,12.3228,14.6353,10.8129,12.3228,14.6353,10.3858,12.6506
8,0,-0.382683,-0.92388,8.98116,5.76282,15.3196,11.8082,5.26539,15.5257,8.98116,5.26539,15.5257
9,0,-0.382683,-0.92388,11.8082,7.25513,14.7015,14.6353,7.25513,14.7015,14.6353,6.75769,14.9076
10,0,-0.130527,-0.991445,8.98116,1.60144,16.2892,11.8082,1.06763,16.3594,8.98116,1.06763,16.3594
11,0,-0.130526,-0.991445,11.8082,3.20289,16.0783,14.6353,3.20289,16.0783,14.6353,2.66907,16.1486
12,0,0.130526,-0.991445,8.98116,-2.66907,16.1486,11.8082,-3.20289,16.0783,8.98116,-3.20289,16.0783
13,0,0.130527,-0.991445,11.8082,-1.06763,16.3594,14.6353,-1.06763,16.3594,14.6353,-1.60144,16.2892
14,0,0.382683,-0.92388,8.98116,-6.75769,14.9076,11.8082,-7.25513,14.7015,8.98116,-7.25513,14.7015
15,0,0.382683,-0.92388,11.8082,-5.26539,15.5257,14.6353,-5.26539,15.5257,14.6353,-5.76282,15.3196
16,0,0.608761,-0.793353,8.98116,-10.3858,12.6506,11.8082,-10.8129,12.3228,8.98116,-10.8129,12.3228
17,0,0.608761,-0.793353,11.8082,-9.10432,13.6339,14.6353,-9.10432,13.6339,14.6353,-9.53147,13.3061
18,0,0.793353,-0.608761,8.98116,-13.3061,9.53147,11.8082,-13.6339,9.10432,8.98116,-13.6339,9.10432
19,0,0.793353,-0.608761,11.8082,-12.3228,10.8129,14.6353,-12.3228,10.8129,14.6353,-12.6506,10.3858
20,0,0.92388,-0.382683,8.98116,-15.3196,5.76282,11.8082,-15.5257,5.26539,8.98116,-15.5257,5.26539
21,0,0.92388,-0.382683,11.8082,-14.7015,7.25513,14.6353,-14.7015,7.25513,14.6353,-14.9076,6.75769
22,0,0.991445,-0.130527,8.98116,-16.2892,1.60144,11.8082,-16.3594,1.06763,8.98116,-16.3594,1.06763
23,0,0.991445,-0.130526,11.8082,-16.0783,3.20289,14.6353,-16.0783,3.20289,14.6353,-16.1486,2.66907
24,-0.704058,0.704067,-0.0926925,0.499993,-16.3594,1.06763,0.499993,-16.5,0,0.374993,-16.4802,1.09998
